time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
"2017-04-23T03:00:10.450Z,-33.0754,-72.1845,5.68,4.8,mb,,87,0.462,0.82,us,us10008jw9,2017-04-24T00:39:37.808Z,""52km W of Valparaiso, Chile"",earthquake,2.8,5.5,0.09,38,reviewed,us,us"
"2017-04-23T02:54:32.590Z,18.2596,-67.9848,161,3.7,md,9,328,0.898,0.45,pr,pr2017113000,2017-04-23T15:44:41.366Z,""56km SE of Punta Cana, Dominican Republic"",earthquake,5.6,2.92,0.18,9,reviewed,pr,pr"
"2017-04-23T02:52:37.950Z,-33.0335,-71.9963,19.89,4.8,mb,,134,0.301,0.94,us,us10008jvx,2017-04-24T00:38:56.413Z,""34km W of Valparaiso, Chile"",earthquake,4.5,4.6,0.071,66,reviewed,us,us"
"2017-04-23T02:43:18.680Z,-33.0192,-71.96,21.25,4.8,mwr,,143,0.271,0.62,us,us10008jw7,2017-04-24T00:38:30.427Z,""31km W of Valparaiso, Chile"",earthquake,4.2,3,0.055,32,reviewed,us,us"
"2017-04-23T02:36:05.920Z,-33.0393,-72.085,9.78,5.9,mwp,,61,0.376,0.97,us,us10008jvr,2017-04-24T03:48:56.350Z,""42km W of Valparaiso, Chile"",earthquake,2.8,4.1,,,reviewed,us,us"
"2017-04-23T01:52:19.720Z,10.8038,-62.3022,77.87,4.7,mb,,50,1.465,1.41,us,us10008jv5,2017-04-24T02:39:24.747Z,""24km N of Gueiria, Venezuela"",earthquake,4,8.4,0.055,102,reviewed,us,us"
"2017-04-23T01:49:12.910Z,-33.0129,-72.0114,24.83,4.5,mwr,,233,0.314,0.98,us,us10008jv4,2017-04-24T00:37:59.537Z,""36km W of Valparaiso, Chile"",earthquake,7.1,8.9,0.035,79,reviewed,us,us"
"2017-04-23T01:47:45.230Z,33.3745003,-116.2829971,11.04,3.06,ml,100,27,0.08503,0.18,ci,ci37864616,2017-04-23T15:49:03.915Z,""16km NNE of Borrego Springs, CA"",earthquake,0.19,0.48,0.259,16,automatic,ci,ci"
"2017-04-23T01:19:47.780Z,9.251,126.3019,62.82,5.3,mb,,87,2.282,1.14,us,us10008jux,2017-04-23T01:37:58.057Z,""12km E of Burgos, Philippines"",earthquake,8.6,6.5,0.04,213,reviewed,us,us"
"2017-04-23T00:48:17.760Z,36.0758324,-120.6486664,5.57,2.48,md,10,149,0.04309,0.15,nc,nc72792546,2017-04-23T01:08:01.434Z,""26km WSW of Coalinga, California"",earthquake,1.97,1.99,0.29,5,automatic,nc,nc"
"2017-04-22T23:57:11.710Z,-33.0285,-72.1486,19.48,4.2,mwr,,172,0.429,0.79,us,us10008jum,2017-04-23T03:01:26.940Z,""48km W of Valparaiso, Chile"",earthquake,3.6,5.7,0.037,72,reviewed,us,us"
"2017-04-22T22:46:42.810Z,-32.9719,-72.1389,10.6,4.9,mwr,,69,0.424,1.08,us,us10008juc,2017-04-23T03:47:44.215Z,""48km W of Valparaiso, Chile"",earthquake,4.3,4.1,0.032,95,reviewed,us,us"
"2017-04-22T22:33:20.700Z,-21.3452,-176.6814,251.22,4.7,mb,,80,6.121,1.09,us,us10008jua,2017-04-22T22:49:47.040Z,""153km W of Havelu, Tonga"",earthquake,11.2,8.2,0.059,86,reviewed,us,us"
"2017-04-22T21:34:36.870Z,19.136,-66.1186,16,2.72,md,9,257,0.9031,0.21,pr,pr2017112017,2017-04-23T02:22:01.274Z,""74km N of San Juan, Puerto Rico"",earthquake,2.38,5.69,0.15,4,reviewed,pr,pr"
"2017-04-22T21:26:58.180Z,31.4945,104.1501,10,4.8,mb,,44,11.323,0.52,us,us10008ju1,2017-04-22T21:46:30.040Z,""17km NNW of Jiannan, China"",earthquake,8,1.5,0.064,74,reviewed,us,us"
"2017-04-22T19:57:36.510Z,36.1143341,-120.0824966,9.05,2.62,md,46,160,0.05756,0.11,nc,nc72792476,2017-04-22T20:52:03.114Z,""9km S of Huron, California"",earthquake,0.42,0.3,0.14,35,automatic,nc,nc"
"2017-04-22T19:41:43.750Z,36.1231651,-120.0733337,9.82,3.38,ml,65,74,0.06862,0.15,nc,nc72792471,2017-04-22T20:37:02.075Z,""9km SSE of Huron, California"",earthquake,0.4,0.46,0.196,9,automatic,nc,nc"
"2017-04-22T19:37:37.090Z,29.698,67.3997,17.68,4.3,mb,,122,5.025,1.2,us,us10008jtj,2017-04-22T21:56:21.040Z,""19km SSE of Mach, Pakistan"",earthquake,9.4,5.5,0.117,21,reviewed,us,us"
"2017-04-22T19:33:12.760Z,18.7211,-64.2005,24,2.5,md,3,346,127.42,0.03,pr,pr2017112015,2017-04-23T01:35:20.852Z,""55km NE of Road Town, British Virgin Islands"",earthquake,2.64,8.02,0.47,2,reviewed,pr,pr"
"2017-04-22T19:27:08.810Z,-55.6801,146.9901,10,4.6,mb,,90,16.416,0.41,us,us10008jtg,2017-04-22T21:38:01.040Z,""West of Macquarie Island"",earthquake,12.8,1.9,0.095,33,reviewed,us,us"
"2017-04-22T17:55:48.150Z,-5.1295,153.104,51.75,4.8,mb,,45,1.321,0.43,us,us10008jt3,2017-04-22T20:42:28.040Z,""73km S of Taron, Papua New Guinea"",earthquake,7,7.6,0.071,62,reviewed,us,us"
"2017-04-22T17:48:41.210Z,40.11,-108.8413333,6.43,3.74,ml,21,97,0.4605,0.19,uu,uu60194797,2017-04-24T02:32:31.390Z,""5km WNW of Rangely, Colorado"",earthquake,0.41,1.18,0.202,26,reviewed,uu,uu"
